problem,family,algorithm,trial,seed,budget,evaluations,best_value,runtime_seconds
Rosenbrock,continuous,PSO,26,23052,1000,1000,6.736383788805822,0.012004700000034063
Rosenbrock,continuous,PSO,27,23053,1000,1000,11.289449172942863,0.010636500000146043
Rosenbrock,continuous,PSO,28,23054,1000,1000,5.4439353561032116,0.010965299999952549
Rosenbrock,continuous,PSO,29,23055,1000,1000,8.390741360996184,0.010094399999616144
Rosenbrock,continuous,PSO,30,23056,1000,1000,8.422852433045113,0.010573600000498118
Rosenbrock,continuous,DE,1,24027,1000,1000,53.54293575505051,0.04443050000008952
Rosenbrock,continuous,DE,2,24028,1000,1000,106.11685105212696,0.051292900000589725
Rosenbrock,continuous,DE,3,24029,1000,1000,78.15195095757637,0.04449720000047819
Rosenbrock,continuous,DE,4,24030,1000,1000,52.92222357424156,0.05932039999970584
Rosenbrock,continuous,DE,5,24031,1000,1000,24.622483443748255,0.07892709999941872
Rosenbrock,continuous,DE,6,24032,1000,1000,44.63892883435963,0.059814100000039616
Rosenbrock,continuous,DE,7,24033,1000,1000,35.00829359111206,0.056510500000513275
Rosenbrock,continuous,DE,8,24034,1000,1000,37.647423345856836,0.057981500000096275
Rosenbrock,continuous,DE,9,24035,1000,1000,73.83236328484175,0.059241900000415626
Rosenbrock,continuous,DE,10,24036,1000,1000,168.1432426964919,0.06248250000044209
Rosenbrock,continuous,DE,11,24037,1000,1000,62.71517350407427,0.058239400000275054
Rosenbrock,continuous,DE,12,24038,1000,1000,166.86907927624532,0.05663110000023153
Rosenbrock,continuous,DE,13,24039,1000,1000,64.29108310466364,0.05769899999995687
Rosenbrock,continuous,DE,14,24040,1000,1000,110.59055990397135,0.0597819000004165
Rosenbrock,continuous,DE,15,24041,1000,1000,84.01719590934067,0.08384190000015224
Rosenbrock,continuous,DE,16,24042,1000,1000,120.64550438510896,0.09100880000005418
Rosenbrock,continuous,DE,17,24043,1000,1000,66.90078027314901,0.08513519999996788
Rosenbrock,continuous,DE,18,24044,1000,1000,76.2129950870571,0.07121989999996003
Rosenbrock,continuous,DE,19,24045,1000,1000,59.03570773335184,0.08597329999975045
Rosenbrock,continuous,DE,20,24046,1000,1000,96.61080382976846,0.09436819999973522
Rosenbrock,continuous,DE,21,24047,1000,1000,71.10936792414742,0.08813310000005004
